PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.UniprotIds	PG.Genes	PG.ProteinDescriptions	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.UniquePeptides
;mitochondrial proton-transporting ATP synthase complex, coupling factor F(o);;;mitochondrial proton-transporting ATP synthase, stator stalk	;ATP synthesis coupled proton transport;;;ATP synthesis coupled proton transport,Requires Ontology	;hydrogen ion transmembrane transporter activity;;;proton-transporting ATP synthase activity, rotational mechanism	A0A287A2Y4;A0A287B0C3;A0A287B4I0;A0A5G2QY12;F1SMF9	ATP5PD;ATP5PD;ATP5PD;ATP5PD;	ATP synthase subunit d, mitochondrial;ATP synthase subunit d, mitochondrial;ATP synthase subunit d, mitochondrial;ATP synthase subunit d, mitochondrial;ATP synthase subunit d, mitochondrial	NaN	NaN	1162982	1941369	NaN	NaN	NaN	NaN	1	1	NaN	NaN
cytoplasm,synapse		structural molecule activity	I3LDU9	SNTB2	Syntrophin beta 2	NaN	NaN	4571853	1.10512E+07	5997558	4363058	NaN	NaN	6	6	6	6
;	protein phosphorylation;	protein serine/threonine kinase activity,ATP binding;	A0A287APG0;F1S5P2	SLK	Non-specific serine/threonine protein kinase	NaN	NaN	842661.6	56731.46	NaN	1456682	NaN	NaN	4	4	NaN	4
mitochondrial proton-transporting ATP synthase complex,integral component of membrane			F1RFD4	ATP5MK	ATP synthase membrane subunit DAPIT	NaN	NaN	4.0946E+07	6.016968E+07	3.389282E+07	3.240457E+07	NaN	NaN	3	3	3	3
		calcium ion binding	A0A286ZXS0	SPTAN1	Spectrin alpha, non-erythrocytic 1	NaN	NaN	5.364532E+07	7.821261E+07	3.35568E+07	3.60229E+07	NaN	NaN	84	84	84	84
;	;actin filament bundle assembly,actin crosslink formation	;calcium ion binding,actin filament binding	A0A5G2R6T7;I3LLY3	ACTN1	Uncharacterized protein	NaN	NaN	4086958	3134716	628603.3	3044835	NaN	NaN	7	7	7	7
;mitochondrial matrix	;fatty acid biosynthetic process,estrogen biosynthetic process,protein heterotetramerization,oxidation-reduction process	;estradiol 17-beta-dehydrogenase activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity,testosterone dehydrogenase (NAD+) activity,NADH binding	A5D9P1;Q9XT00	HSD17B8	Estradiol 17-beta-dehydrogenase 8;(3R)-3-hydroxyacyl-CoA dehydrogenase	NaN	NaN	1.494948E+07	1.092682E+07	1.774372E+07	1789860	NaN	NaN	6	6	6	6
			A0A5G2QK97	NaN	Uncharacterized protein	NaN	NaN	3434146	1.018744E+07	4252983	1.175896E+07	NaN	NaN	11	11	11	11
condensed nuclear chromosome,microtubule,intracellular ribonucleoprotein complex,mitochondrial nucleoid,perinuclear region of cytoplasm;	negative regulation of mitochondrial RNA catabolic process,regulation of mitochondrial translation;	single-stranded DNA binding,RNA binding,ubiquitin protein ligase binding,beta-tubulin binding;	F1S5J1;I3LIC2	LRPPRC	Leucine rich pentatricopeptide repeat containing	NaN	NaN	5.543132E+07	4.549415E+07	4.028156E+07	4.873271E+07	NaN	NaN	44	44	44	44
;extracellular space,cell;extracellular region,cell	;positive regulation of immunoglobulin production,positive regulation of humoral immune response mediated by circulating immunoglobulin,cellular iron ion homeostasis,heme transport,hemoglobin metabolic process,heme metabolic process,positive regulation of tyrosine phosphorylation of STAT protein,positive regulation of interferon-gamma-mediated signaling pathway;cellular iron ion homeostasis,metabolic process,heme transport	;heme transporter activity,metal ion binding;hyalurononglucosaminidase activity,heme transporter activity,metal ion binding	A0A5G2QGR8;F1RMN7;P50828	HPX	Hemopexin	NaN	NaN	1.056599E+07	NaN	NaN	8299617	NaN	NaN	1	NaN	NaN	1
proteinaceous extracellular matrix;;;	positive regulation of peptidase activity,extracellular matrix organization;;;	calcium ion binding,peptidase activator activity;;;	A0A287AL89;A0A5G2QCT3;A0A5G2R662;F1SM61	FBLN1	Fibulin-1	NaN	NaN	1.147895E+07	1.027208E+07	2.869422E+07	4.198619E+07	NaN	NaN	7	7	7	7
cytoplasm		calcium ion binding,calcium-dependent phospholipid binding,phosphatidylethanolamine binding	F1S2E2	ANXA11	Annexin	NaN	NaN	3.248136E+07	1.662962E+07	8234282	1.32141E+07	NaN	NaN	12	12	12	12
;protein phosphatase type 1 complex,nuclear chromosome, telomeric region,nucleoplasm,nucleolus,cytosol,plasma membrane,PTW/PP1 phosphatase complex	;glycogen metabolic process,protein dephosphorylation,cell cycle,regulation of cell adhesion,circadian regulation of gene expression,regulation of circadian rhythm,entrainment of circadian clock by photoperiod,cell division	;phosphatase activity,myosin phosphatase activity,protein kinase binding,metal ion binding,myosin-light-chain-phosphatase activity	A0A5S8KL32;P61292	PPP1CB	Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase PP1-beta catalytic subunit	NaN	NaN	5346936	6410004	356134	6131625	NaN	NaN	6	6	6	6
Golgi apparatus,ER to Golgi transport vesicle	ER to Golgi vesicle-mediated transport,Golgi organization	phospholipase activity,metal ion binding	F1S409	SEC23IP	SEC23 interacting protein	NaN	NaN	442890.4	385145	2419190	1452544	NaN	NaN	5	5	5	5
;;;extracellular region	;;negative regulation of endopeptidase activity,hyaluronan metabolic process;negative regulation of endopeptidase activity,hyaluronan metabolic process	;;serine-type endopeptidase inhibitor activity;serine-type endopeptidase inhibitor activity	A0A5G2QEV5;A0A5G2R080;F1RUM4;O02668	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	NaN	NaN	4.979691E+07	4.126048E+07	2.522768E+07	1.853243E+07	NaN	NaN	17	17	17	17
;;;	;;;	;;;	A0A287AHT8;A0A5G2Q763;A0A5G2QBB0;A0A5G2QZH2	KNG1	Kininogen 1	NaN	NaN	1.437091E+07	6603145	2.323093E+07	1.454775E+07	NaN	NaN	5	5	5	5
zona pellucida receptor complex,nucleoplasm,centrosome,chaperonin-containing T-complex,microtubule,cell body,intermediate filament cytoskeleton	'de novo' protein folding,binding of sperm to zona pellucida,positive regulation of telomere maintenance via telomerase,pore complex assembly,protein stabilization,chaperone-mediated protein folding,toxin transport,positive regulation of establishment of protein localization to telomere,positive regulation of protein localization to Cajal body,positive regulation of telomerase RNA localization to Cajal body	ATP binding,protein binding involved in protein folding,cadherin binding,unfolded protein binding	I3LCA2	CCT8	CCT-theta	NaN	NaN	2.568389E+07	6172776	3598717	7721898	NaN	NaN	10	10	10	10
	protein phosphorylation	protein kinase activity,ATP binding	A0A287B960	MYLK3	Myosin light chain kinase 3	NaN	NaN	741752.5	7113486	1871537	1837082	NaN	NaN	2	2	2	2
;;;	;;;	;;;protein dimerization activity	A0A287B8B1;A0A5G2QYZ3;A0A5G2R2Q0;F1SRB9	ST13	STI1 domain-containing protein	NaN	NaN	2.694136E+07	8848650	1.857762E+07	1.092103E+07	NaN	NaN	2	2	2	2
extracellular region	adaptive immune response,blood coagulation,innate immune response		P14477	FGB	Fibrinogen beta chain (Fragment)	NaN	NaN	3624762	5467762	6180891	7356149	NaN	NaN	1	1	1	1
membrane attack complex;	immune response;	;	A0A287BH90;F1SMJ6	C9	Complement component C9	NaN	NaN	846918.8	9675058	290005.4	1440126	NaN	NaN	4	4	4	4
;;;	;;;	calcium ion binding;;;	A0A287AXD3;A0A5G2QXT2;A0A5G2R9B8;F1S0M0	MATN2	Matrilin 2	NaN	NaN	1.054359E+08	8.314629E+07	7.43524E+07	6.444822E+07	NaN	NaN	17	17	17	17
;;;	;;;	;;;	A0A287A1V6;A0A5G2QXK3;A0A5G2R4Y3;F1S8G6	SGTA	Small glutamine rich tetratricopeptide repeat containing alpha	NaN	NaN	3.044459E+07	2.424685E+07	1.41349E+07	8328785	NaN	NaN	7	7	7	7
;;	biosynthetic process,L-kynurenine metabolic process;;	pyridoxal phosphate binding,kynurenine aminotransferase activity;;	A0A287AZB0;A0A287BSQ5;F1S4D5	KYAT3	Cysteine-S-conjugate beta-lyase 2	NaN	NaN	2.401686E+08	6.355295E+07	5.757212E+07	4.967239E+07	NaN	NaN	14	14	14	14
;;mitochondrion,cytosol	;;glutamate catabolic process via 2-oxoglutarate,oxidation-reduction process	;;alcohol dehydrogenase (NAD) activity,metal ion binding,hydroxyacid-oxoacid transhydrogenase activity	A0A5G2QMA8;A0A5G2RCM7;F1RTZ1	ADHFE1	Alcohol dehydrogenase iron-containing protein 1	NaN	NaN	2700047	859134.4	1063117	3348883	NaN	NaN	5	5	5	5
;	;	;	F6Q697;K7GME6	S100A9	S100 calcium binding protein A9	NaN	NaN	788613.5	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN
;	;	;	A0A287BNW6;A0A5G2QM16	EDF1	Endothelial differentiation related factor 1	NaN	NaN	5859184	3.252391E+07	2181715	436702.9	NaN	NaN	2	2	2	2
;nucleoplasm,nucleolus,cell cortex,cytoplasmic ribonucleoprotein granule	;angiogenesis,negative regulation of translation,positive regulation of transcription from RNA polymerase II promoter,cellular response to epidermal growth factor stimulus,positive regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter,cellular response to leukemia inhibitory factor	;protein C-terminus binding,telomeric DNA binding,identical protein binding,DNA topoisomerase binding,mRNA 5'-UTR binding	A0A5G2QXD8;F1SMV6	NCL	Nucleolin	NaN	NaN	5627348	2.680042E+07	1.095425E+07	1.868596E+07	NaN	NaN	13	13	13	13
;;	metabolic process;;	catalytic activity;;	A0A286ZJB9;A0A287AQR2;A0A287B4R8	ACSS3	Propionate--CoA ligase	NaN	NaN	5730217	1.876303E+07	2.356643E+07	1.120828E+07	NaN	NaN	10	10	10	10
;nucleoplasm,mitochondrion	;thymine catabolic process,valine catabolic process,brown fat cell differentiation,oxidation-reduction process	;methylmalonate-semialdehyde dehydrogenase (acylating) activity	A0A5G2RA17;F1S3H1	ALDH6A1	Aldehyde dehydrogenase 6 family member A1	NaN	NaN	5287426	NaN	2778677	921714.8	NaN	NaN	4	NaN	4	4
stress fiber,nucleus,cytosol,cell-cell adherens junction,focal adhesion,phagocytic vesicle;	cell-matrix adhesion,transforming growth factor beta receptor signaling pathway,integrin-mediated signaling pathway,stress fiber assembly,cellular response to interferon-gamma;	metal ion binding;	F1SRU2;F1SRV9	ZYX	Zyxin	NaN	NaN	1.083985E+07	5897357	2791634	2.639153E+07	NaN	NaN	6	6	6	6
			F1RLZ7	DPYSL3	Dihydropyrimidinase like 3	NaN	NaN	2.447497E+08	3.578316E+08	2.080728E+08	1.555869E+08	NaN	NaN	19	19	19	19
nucleus,cytoplasm,cytosol,microtubule cytoskeleton,GAIT complex	microtubule cytoskeleton organization,glucose metabolic process,glycolytic process,regulation of translation,peptidyl-cysteine S-trans-nitrosylation,protein stabilization,neuron apoptotic process,oxidation-reduction process	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,microtubule binding,peptidyl-cysteine S-nitrosylase activity,NADP binding,NAD binding	P00355	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	NaN	NaN	5.672799E+07	8.794442E+07	8.312114E+07	1.703267E+08	NaN	NaN	11	11	11	11
	store-operated calcium entry,response to muscle activity involved in regulation of muscle adaptation	GTP binding	F1RK48	SRL	Sarcalumenin isoform X1	NaN	NaN	1.301377E+07	1.190465E+07	2.350075E+07	2.572187E+07	NaN	NaN	13	13	13	13
;nucleus,plasma membrane,cytosolic small ribosomal subunit,90S preribosome,cytoplasmic side of rough endoplasmic reticulum membrane	;ribosomal small subunit assembly,endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA),rRNA export from nucleus,translation,viral entry into host cell	;virus receptor activity,structural constituent of ribosome,laminin receptor activity	A0A287B2M3;Q4GWZ2	RPSA	40S ribosomal protein SA	NaN	NaN	4089248	2623323	3588307	8257402	NaN	NaN	4	4	4	4
			A0A287BMM8	ABLIM1	Actin binding LIM protein 1	NaN	NaN	3.521886E+07	6.831195E+07	3.151477E+07	2.163004E+07	NaN	NaN	18	18	18	18
;	;	;	A0A5G2Q6N1;I3LKJ6	GFM1	Elongation factor G, mitochondrial;Elongation factor G, mitochondrial	NaN	NaN	3.462925E+07	3.174951E+07	5886411	3.486498E+07	NaN	NaN	11	11	11	11
nucleus,cytoplasm,midbody,spindle pole centrosome,microtubule minus-end,BRISC complex	response to ischemia,attachment of spindle microtubules to kinetochore,protein K63-linked deubiquitination,mitotic spindle assembly	microtubule binding,polyubiquitin binding	F1SDP0	ABRAXAS2	Abraxas 2, BRISC complex subunit	NaN	NaN	2638031	1621579	1369266	2475356	NaN	NaN	2	2	2	2
			A0A287B9W9	EPS15L1	Epidermal growth factor receptor pathway substrate 15 like 1	NaN	NaN	2457705	2370922	392210.9	782721.4	NaN	NaN	2	2	2	2
extracellular region;	lipid transport,lipoprotein metabolic process;	lipid binding;	A0A287BM29;F1SJT7	APOA4	Apolipoprotein A-IV	NaN	NaN	3.29256E+07	2.817985E+07	2.200549E+07	1.745134E+07	NaN	NaN	21	21	21	21
extracellular region;extracellular space,high-density lipoprotein particle,chylomicron,blood microparticle	lipid transport,lipoprotein metabolic process;cholesterol biosynthetic process,positive regulation of cholesterol esterification,positive regulation of triglyceride catabolic process,protein oxidation,peptidyl-methionine modification,triglyceride catabolic process,regulation of intestinal cholesterol absorption,neuron projection regeneration,cholesterol efflux,phospholipid efflux,very-low-density lipoprotein particle remodeling,high-density lipoprotein particle assembly,lipoprotein metabolic process,cholesterol homeostasis,reverse cholesterol transport,positive regulation of fatty acid biosynthetic process,phosphatidylcholine metabolic process,positive regulation of lipoprotein lipase activity,triglyceride homeostasis	lipid binding;cholesterol binding,cholesterol transporter activity,phosphatidylcholine binding,phosphatidylcholine-sterol O-acyltransferase activator activity,high-density lipoprotein particle receptor binding	K7GM40;P18648	APOA1	Apolipoprotein A-I	NaN	NaN	1.946033E+07	2.227332E+07	4.831126E+07	2.674964E+07	NaN	NaN	12	12	12	12
;extracellular space,extracellular matrix	;endodermal cell differentiation	;	A0A5G2QRX0;F1RQI0	COL12A1	Collagen type XII alpha 1 chain	NaN	NaN	3.665814E+07	3.768476E+07	2.46506E+07	2.752627E+07	NaN	NaN	51	51	51	51
		metal ion binding	F6Q6A7	CSRP3	Cysteine and glycine rich protein 3	NaN	NaN	3.88209E+08	1.364616E+08	1.360113E+08	2.179013E+08	NaN	NaN	8	8	8	8
;cytoplasm	;	;RNA binding	A0A286ZZL8;F2Z557	PABPC1	Polyadenylate-binding protein	NaN	NaN	4.492488E+07	4.213582E+07	2.435415E+07	3.702062E+07	NaN	NaN	18	18	18	18
nuclear euchromatin,supraspliceosomal complex,extracellular exosome,catalytic step 2 spliceosome;;	regulation of alternative mRNA splicing, via spliceosome,transcription from RNA polymerase II promoter,membrane protein ectodomain proteolysis,positive regulation of transcription from RNA polymerase II promoter,protein oligomerization,cellular response to interleukin-1;;	core promoter binding,chromatin binding,mRNA binding,protein domain specific binding,identical protein binding;;	F1RQ90;K7GKR9;K7GRX3	RBMX	RNA-binding motif protein, X chromosome isoform 1;RRM domain-containing protein;RRM domain-containing protein	NaN	NaN	5305251	1.90119E+07	4806216	1.650665E+07	NaN	NaN	3	3	3	3
cytoplasm,intermediate filament	G2/M transition of mitotic cell cycle,negative regulation of protein binding,negative regulation of catalytic activity,stem cell proliferation	structural molecule activity,intermediate filament binding	I3LNY6	NES	Nestin	NaN	NaN	1.082048E+07	1.59116E+07	2696262	4349422	NaN	NaN	31	31	31	31
myosin complex	microtubule-based movement	microtubule motor activity,actin binding,ATP binding,microtubule binding	F1SSA6	MYH10	Myosin motor domain-containing protein	NaN	NaN	7362407	4900482	2376918	1425820	NaN	NaN	3	3	3	3
;;extracellular space,membrane raft;;cytoplasm	;;glycolytic process,negative regulation of angiogenesis,epithelial cell differentiation,plasminogen activation,oxidation-reduction process,cellular response to hypoxia;;glycolytic process,phosphorylation	;;phosphoglycerate kinase activity,ATP binding,protein-disulfide reductase activity;;phosphoglycerate kinase activity,ATP binding	A0A5G2QJC3;A0A5G2R4C4;F1RPH0;K7GKJ8;Q7SIB7	PGK1	Phosphoglycerate kinase;Phosphoglycerate kinase;Phosphoglycerate kinase;Phosphoglycerate kinase;Phosphoglycerate kinase 1	NaN	NaN	3539043	1743050	906321.1	NaN	NaN	NaN	2	2	2	NaN
;	;	;	A0A287AAZ9;K7GPT9	CFB	C3/C5 convertase	NaN	NaN	1787276	2235033	NaN	6396135	NaN	NaN	4	4	NaN	4
mitochondrial matrix	carbohydrate metabolic process,tricarboxylic acid cycle	citrate (Si)-synthase activity,citrate synthase activity	P00889	CS	Citrate synthase, mitochondrial	NaN	NaN	4.918854E+07	9.700415E+07	4.939441E+07	5.052253E+07	NaN	NaN	9	9	9	9
	biosynthetic process	catalytic activity,pyridoxal phosphate binding,identical protein binding	F1SHI0	ACCS	1-aminocyclopropane-1-carboxylate synthase-like protein 1	NaN	NaN	4960836	1029442	3.045644E+07	601130.5	NaN	NaN	4	4	4	4
A band,I band	regulation of the force of heart contraction,regulation of striated muscle contraction,ventricular cardiac muscle tissue morphogenesis,cardiac muscle contraction	actin monomer binding,calcium ion binding	F1SNW4	MYL3	Myosin light chain 3	NaN	NaN	2.151417E+08	3.540074E+08	2.178695E+08	2.213993E+08	NaN	NaN	15	15	15	15
endoplasmic reticulum;nucleus,cytoplasm	translational elongation,response to virus;translational elongation,glutathione metabolic process	translation elongation factor activity,cadherin binding;translation elongation factor activity,glutathione transferase activity	F1RPW9;Q29387	EEF1G	Elongation factor 1-gamma;Elongation factor 1-gamma (Fragment)	NaN	NaN	7.764284E+07	2.02577E+07	6200671	7.66821E+07	NaN	NaN	8	8	8	8
;zona pellucida receptor complex,nucleoplasm,centrosome,chaperonin-containing T-complex,microtubule,cell body	;'de novo' protein folding,binding of sperm to zona pellucida,positive regulation of telomere maintenance via telomerase,protein stabilization,positive regulation of telomerase activity,chaperone-mediated protein folding,scaRNA localization to Cajal body,toxin transport,positive regulation of establishment of protein localization to telomere,positive regulation of protein localization to Cajal body,positive regulation of telomerase RNA localization to Cajal body	;ATP binding,protein binding involved in protein folding,unfolded protein binding	A0A5G2QN54;F1SQN1	CCT4	T-complex protein 1 subunit delta	NaN	NaN	2.673542E+07	1.849574E+07	2.48436E+07	1.661642E+07	NaN	NaN	15	15	15	15
nucleolus,cytoplasm,cytosol,cytoplasmic stress granule,cleavage body,tRNA-splicing ligase complex	double-strand break repair,tRNA splicing, via endonucleolytic cleavage and ligation,multicellular organism development,response to virus,RNA secondary structure unwinding,DNA duplex unwinding,response to exogenous dsRNA,nucleic acid phosphodiester bond hydrolysis,regulation of nucleic acid-templated transcription,protein localization to cytoplasmic stress granule	chromatin binding,transcription cofactor activity,double-stranded RNA binding,ATP-dependent RNA helicase activity,nuclease activity,ATP binding,poly(A) binding,DNA/RNA helicase activity	F1SCS1	DDX1	ATP-dependent RNA helicase DDX1	NaN	NaN	1.729404E+07	1.472906E+07	1.530794E+07	1.755019E+07	NaN	NaN	9	9	9	9
;extracellular space;	;negative regulation of complement activation, lectin pathway,negative regulation of endopeptidase activity,stem cell differentiation;	;protease binding,serine-type endopeptidase inhibitor activity,receptor binding,interleukin-8 binding,interleukin-1 binding,tumor necrosis factor binding,calcium-dependent protein binding;	A0A5G2Q8I9;F1SLX2;K7GQ48	A2M	Uncharacterized protein	NaN	NaN	7926650	1.549346E+07	5738147	8399862	NaN	NaN	14	14	14	14
;;nucleus,cytoplasm,plasma membrane,melanosome	;;protein folding,response to heat,response to cold,positive regulation of nitric oxide biosynthetic process,response to antibiotic,regulation of catalytic activity	;;ATP binding,ATPase activity,nitric-oxide synthase regulator activity,TPR domain binding,unfolded protein binding	A0A287AQK7;A0A287B8J5;O02705	HSP90AA1	Heat shock protein HSP 90-alpha	NaN	NaN	459404	1477004	NaN	NaN	NaN	NaN	4	4	NaN	NaN
clathrin-coated pit,clathrin adaptor complex,filopodium tip;	intracellular protein transport,clathrin-dependent endocytosis,negative regulation of hyaluronan biosynthetic process;	protein transporter activity,protein kinase binding,clathrin adaptor activity,low-density lipoprotein particle receptor binding;	F1RH60;I3LK24	AP2A1	AP-2 complex subunit alpha	NaN	NaN	5663274	1.417506E+07	1286514	1756647	NaN	NaN	4	4	4	4
;	;metabolic process	;transferase activity, transferring acyl groups other than amino-acyl groups	D0G0B3;F6PZX4	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial;Acetyl-CoA acyltransferase 2	NaN	NaN	5.5751E+07	1.963402E+07	2.567753E+07	4.689286E+07	NaN	NaN	17	17	17	17
;;extrinsic component of mitochondrial inner membrane	;;peptidyl-arginine hydroxylation,methylation,mitochondrial respiratory chain complex I assembly	;;methyltransferase activity	A0A287ATV3;A0A5G2QKW6;F1SBJ3	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	NaN	NaN	5045597	3856418	NaN	3020279	NaN	NaN	2	2	NaN	2
;	;proteolysis,exocytosis	;dipeptidase activity	A0A287A4K2;I3L8U8	SCRN3	Secernin 3	NaN	NaN	3278106	4888023	2688217	4.558386E+07	NaN	NaN	5	5	5	5
			A0A5K1U589	UBA1	Ubiquitin-activating enzyme E1	NaN	NaN	2239077	572494.9	NaN	NaN	NaN	NaN	5	5	NaN	NaN
SWI/SNF complex,npBAF complex,nBAF complex;;	;;	DNA binding;;	A0A286ZQW3;F1SM00;I3LRY4	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2;SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2;SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2	NaN	NaN	1294172	84912.21	61653.66	1506688	NaN	NaN	2	2	2	2
;cytoplasm	;protein folding	;ATP binding,unfolded protein binding	A0A5G2QHR6;I3L9J4	CCT6A	Uncharacterized protein	NaN	NaN	6485892	6279881	6600108	4574378	NaN	NaN	8	8	8	8
